data_file,run,precision,recall,f1-score,accuracy,tp,fp,tn,fn,precision_calc,recall_calc,specificity_calc,accuracy_calc
pd_bw_freq,1,0.891892,0.916667,0.90411,0.849246,33.0,4.0,358.0,3.0,0.891892,0.916667,0.98895,0.982412
pd_bw_freq,2,0.891892,0.916667,0.90411,0.849246,33.0,4.0,358.0,3.0,0.891892,0.916667,0.98895,0.982412
pd_bw_freq,3,0.891892,0.916667,0.90411,0.849246,33.0,4.0,358.0,3.0,0.891892,0.916667,0.98895,0.982412
pd_bw_freq,4,0.891892,0.916667,0.90411,0.849246,33.0,4.0,358.0,3.0,0.891892,0.916667,0.98895,0.982412
pd_bw_freq,5,0.891892,0.916667,0.90411,0.849246,33.0,4.0,358.0,3.0,0.891892,0.916667,0.98895,0.982412
pd_bw_raw,1,1.0,0.972222,0.985915,0.947236,35.0,0.0,362.0,1.0,1.0,0.972222,1.0,0.997487
pd_bw_raw,2,1.0,0.972222,0.985915,0.947236,35.0,0.0,362.0,1.0,1.0,0.972222,1.0,0.997487
pd_bw_raw,3,1.0,0.972222,0.985915,0.947236,35.0,0.0,362.0,1.0,1.0,0.972222,1.0,0.997487
pd_bw_raw,4,1.0,0.972222,0.985915,0.947236,35.0,0.0,362.0,1.0,1.0,0.972222,1.0,0.997487
pd_bw_raw,5,1.0,0.972222,0.985915,0.947236,35.0,0.0,362.0,1.0,1.0,0.972222,1.0,0.997487
pd_bw_time_n_freq,1,0.944444,0.944444,0.944444,0.811558,34.0,2.0,360.0,2.0,0.944444,0.944444,0.994475,0.98995
pd_bw_time_n_freq,2,0.944444,0.944444,0.944444,0.811558,34.0,2.0,360.0,2.0,0.944444,0.944444,0.994475,0.98995
pd_bw_time_n_freq,3,0.944444,0.944444,0.944444,0.811558,34.0,2.0,360.0,2.0,0.944444,0.944444,0.994475,0.98995
pd_bw_time_n_freq,4,0.944444,0.944444,0.944444,0.811558,34.0,2.0,360.0,2.0,0.944444,0.944444,0.994475,0.98995
pd_bw_time_n_freq,5,0.944444,0.944444,0.944444,0.811558,34.0,2.0,360.0,2.0,0.944444,0.944444,0.994475,0.98995
